Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,13893.52266,14485.50768,15479.37913,15894.55805,15186.1302,14899.87005,14085.57518,12412.60599,13361.40004,14410.15052,15518.67851,16592.26489,17900.70634,18436.86247,17168.37894,18712.06308,19629.35185,19224.8744,19482.1903,18797.54795,19116.90791,18584.58,18932.16647
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.16512339,-0.052375497,-0.463913131,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,40.07469064,25.3292251
Argentina,ARG,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,24956432000,28424754642,31003771471,31255969563,27997318725,31236920315,31116753077,29054500000,34336010000,39757250000,46892210000,54528515093,66122298496,81583621072,66335605324,81123016361,97616690275,94330755730,89608120129,81836807735,70022565843,70731678299,72641776198
Argentina,ARG,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,36385381307,39167696786,43937319884,48604954076,47992396563,49289338917,50640355142,52206638633,55336618845,59826719524,67536487416,71292328739,77112956640,77683495718,70422336694,80208867996,83536585369,80104642371,77284766434,71890933183,69894253858,73593525608,73904954167
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.12191381,25.02083649
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.67011E+11,2.81768E+11,3.04622E+11,3.16351E+11,3.05641E+11,3.0323E+11,2.89861E+11,2.58282E+11,2.81106E+11,3.06489E+11,3.33618E+11,3.60465E+11,3.92935E+11,4.08877E+11,3.84677E+11,4.23627E+11,4.49062E+11,4.44453E+11,4.55143E+11,4.43707E+11,4.55825E+11,4.47518E+11,4.60292E+11
Argentina,ARG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,26035117000,30212204066,37511586709,38797517537,32903076781,33068803787,27594942433,13337220000,18724510000,27823640000,34796990000,41261872520,53551718520,68242684098,49682786813,68779495712,88418247226,83387067667,90301801004,80936630075,76622786929,74496225465,88075928906
Argentina,ARG,Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD,29716358765,34925366307,44310354662,48038596282,42626198507,42559032988,36623502524,18289940527,25160624642,35255515116,40842890905,45332285482,54235675229,61591218917,50248309418,67937933972,82903720963,78983814820,82050662341,72631250477,76053140241,80408849890,92469789091
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5609423404,6948536687,9160272052,7290657132,23987696390,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537340000,6473150000,9725560000,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,18.50041051,19.62387245,20.82605155,20.97076915,17.86292788,17.53348744,15.62596533,10.85390524,14.1469621,17.55127036,18.88826414,18.68048724,20.0991132,19.57277588,16.05311236,17.70553381,18.39845892,16.50198653,17.3057789,17.26288101,17.07070488,17.02702247,18.63999874
